State   County  Year    UFOSightingCount   Population_Density   Housing_Density Urban_Rural
Wisconsin  racine  1995  1  566.9  224.3   Rural
North Carolina  watauga  2004  3  163.4  102.8   Rural
Georgia  cherokee  2005  5  508.3  195.3   Rural
Michigan  livingston  1995  1  276.1  103.7   Rural
California  mendocino  2002  2  25.1  11.5   Rural
Washington  okanogan  2003  3  7.8  4.2   Rural
North Carolina  forsyth  2006  2  859.2  384.4   Rural
California  humboldt  2008  4  37.7  17.3   Rural
New York  niagara  2009  3  414.4  189.8   Rural
Texas  hale  2006  1  36.1  13.5   Rural
Maryland  baltimore  2006  8  1345.5  561.0   Urban
North Carolina  davidson  2009  4  294.7  131.5   Rural
North Carolina  cherokee  2005  1  60.3  38.5   Rural
Vermont  washington  2008  1  86.6  43.6   Rural
Minnesota  ramsey  2008  1  3341.6  1426.9   Urban
South Carolina  richland  2010  1  507.9  213.6   Rural
Minnesota  beltrami  2001  1  17.7  8.2   Rural
Colorado  la plata  1999  1  26.0  12.3   Rural
Montana  lincoln  1995  1  5.2  2.6   Rural
Pennsylvania  warren  2008  1  47.3  26.6   Rural
Maine  androscoggin  2009  3  230.2  104.9   Rural
Tennessee  trousdale  2001  1  68.9  29.5   Rural
West Virginia  wayne  2009  4  84.0  38.0   Rural
Oregon  clatsop  2008  1  44.7  26.0   Rural
Indiana  marshall  1996  1  101.6  40.7   Rural
Michigan  iron  1998  1  11.3  7.5   Rural
Washington  ferry  2005  1  3.4  2.0   Rural
Virginia  augusta  2000  1  67.6  27.6   Rural
Texas  comal  1999  7  139.0  58.3   Rural
Maryland  washington  2004  3  322.1  132.8   Rural
Kentucky  letcher  2005  2  72.6  34.3   Rural
Alabama  madison  2009  4  417.7  182.7   Rural
Georgia  turner  2009  1  31.3  13.5   Rural
Maine  franklin  2001  1  18.1  12.8   Rural
Ohio  ashtabula  2009  2  144.6  65.7   Rural
Colorado  teller  2005  1  41.9  22.7   Rural
Michigan  washtenaw  2002  2  488.4  209.0   Rural
Delaware  kent  2010  1  276.9  111.5   Rural
Ohio  hancock  2003  1  140.7  62.4   Rural
Florida  volusia  1995  1  401.9  192.1   Rural
Texas  collin  2003  18  930.0  357.8   Rural
Rhode Island  providence  2010  3  1530.3  646.7   Urban
North Carolina  dare  2010  3  88.5  87.4   Rural
North Carolina  robeson  2008  1  141.3  55.6   Rural
California  stanislaus  2009  15  344.2  120.1   Rural
Texas  williamson  2002  3  378.0  145.6   Rural
Massachusetts  hampden  1999  3  737.8  300.6   Rural
Washington  douglas  2002  5  21.1  8.8   Rural
Illinois  cook  2001  27  5495.1  2306.5   Urban
Arkansas  garland  2004  1  141.7  74.6   Rural
Georgia  rockdale  2009  2  656.5  256.3   Rural
Oregon  lake  2009  2  1.0  0.5   Rural
Indiana  harrison  2003  2  81.2  34.1   Rural
Ohio  williams  2007  2  89.4  39.6   Rural
Ohio  warren  2004  2  530.0  201.2   Rural
Michigan  jackson  1995  3  224.2  89.0   Rural
North Carolina  washington  2008  1  38.0  18.6   Rural
Texas  archer  1994  1  9.7  4.3   Rural
Wisconsin  door  1992  1  57.9  40.6   Rural
Alabama  lee  2009  2  230.8  102.7   Rural
Michigan  clare  2009  1  54.8  41.2   Rural
Indiana  hamilton  2001  2  696.4  270.8   Rural
Vermont  lamoille  2007  2  53.3  28.3   Rural
California  calaveras  2006  2  44.7  27.4   Rural
Arizona  la paz  2000  8  4.4  3.4   Rural
New Jersey  passaic  2008  2  2715.3  953.3   Urban
Maryland  anne arundel  1998  4  1177.2  449.4   Rural
Kentucky  livingston  1999  1  31.0  15.1   Rural
New Jersey  middlesex  1994  1  2422.1  883.5   Urban
Michigan  cass  2005  1  106.7  52.8   Rural
Georgia  lee  2006  2  79.5  28.9   Rural
Idaho  ada  2007  3  372.8  151.5   Rural
Illinois  madison  2006  3  376.3  163.7   Rural
Wisconsin  clark  2004  2  28.7  12.5   Rural
Ohio  jackson  1999  1  77.7  33.1   Rural
Mississippi  oktibbeha  2003  1  104.0  45.7   Rural
New Jersey  monmouth  2007  3  1344.7  551.2   Urban
New York  delaware  2006  1  33.3  21.6   Rural
New Mexico  dona ana  1998  1  45.9  17.1   Rural
Texas  jefferson  2007  2  287.9  119.2   Rural
Wisconsin  columbia  2010  1  74.2  34.1   Rural
Wisconsin  marathon  1998  1  81.4  32.6   Rural
Oklahoma  creek  2001  11  73.6  31.3   Rural
Oklahoma  murray  2007  1  32.4  16.2   Rural
South Carolina  greenville  2001  1  574.7  249.0   Rural
California  napa  2008  5  182.4  73.2   Rural
Washington  klickitat  1997  1  10.2  4.6   Rural
New York  oswego  1994  2  128.4  55.4   Rural
Mississippi  leake  2003  1  40.8  16.1   Rural
Wisconsin  waupaca  1999  1  68.9  30.0   Rural
Indiana  daviess  2005  1  73.7  29.0   Rural
Montana  park  2009  1  5.6  3.3   Rural
Alabama  montgomery  2007  1  292.5  129.6   Rural
Florida  alachua  1996  3  249.3  108.8   Rural
Tennessee  sevier  1999  1  120.2  62.9   Rural
New York  rockland  2001  1  1795.9  599.6   Urban
Georgia  barrow  2009  2  432.7  164.7   Rural
New York  jefferson  2005  2  91.6  45.7   Rural
Kansas  pratt  2004  3  13.1  6.1   Rural
Nebraska  burt  2004  1  14.0  7.1   Rural
Florida  broward  2010  7  1444.9  669.9   Urban
Florida  orange  2001  1  1268.5  540.0   Urban
North Carolina  lincoln  2003  1  262.7  112.9   Rural
Massachusetts  berkshire  2008  3  141.6  73.9   Rural
Georgia  franklin  2003  1  84.5  40.4   Rural
Tennessee  hamilton  2009  6  620.3  278.6   Rural
Kentucky  campbell  2007  2  597.0  261.2   Rural
Oregon  columbia  2005  1  75.1  31.5   Rural
Montana  ravalli  1996  1  15.1  6.7   Rural
Kentucky  hardin  1993  1  150.0  60.0   Rural
Missouri  franklin  2002  3  110.0  47.1   Rural
Tennessee  shelby  1995  4  1189.4  481.0   Rural
Wyoming  park  2005  1  4.1  2.0   Rural
California  san mateo  2007  10  1602.2  604.4   Urban
Maryland  wicomico  2002  1  263.7  110.0   Rural
Alabama  cleburne  2005  2  26.7  12.0   Rural
Missouri  morgan  2010  1  34.4  26.0   Rural
Ohio  knox  2000  1  103.4  41.3   Rural
West Virginia  fayette  2007  1  69.6  32.7   Rural
California  lake  2003  3  51.5  28.2   Rural
Texas  newton  2009  1  15.5  7.6   Rural
North Carolina  nash  1999  4  161.8  68.6   Rural
Texas  brazos  1998  1  260.2  100.8   Rural
Indiana  whitley  2000  1  91.5  37.4   Rural
Florida  clay  1998  1  234.3  89.4   Rural
Alabama  cullman  2006  2  109.4  50.4   Rural
Maine  penobscot  1992  2  42.7  19.7   Rural
Washington  kittitas  2004  2  17.8  9.5   Rural
Illinois  mchenry  2008  9  511.9  192.4   Rural
Kentucky  mccracken  2009  1  263.6  124.9   Rural
California  san bernardino  2009  37  101.5  34.9   Rural
Georgia  floyd  2006  2  188.9  79.5   Rural
New York  chautauqua  2007  3  127.2  63.1   Rural
Oregon  hood river  2010  1  42.8  17.8   Rural
Alabama  butler  2010  1  27.0  12.8   Rural
Maine  hancock  1998  2  32.6  21.4   Rural
Florida  monroe  2003  2  74.3  53.7   Rural
Virginia  clarke  2010  1  79.7  35.4   Rural
Oregon  umatilla  2009  2  23.6  9.2   Rural
Colorado  larimer  1991  1  96.7  40.5   Rural
Pennsylvania  clearfield  2003  1  71.3  33.8   Rural
Missouri  miller  1997  1  39.8  19.0   Rural
North Carolina  buncombe  2006  1  362.9  172.6   Rural
Colorado  jefferson  2007  4  699.5  300.9   Rural
New Mexico  san juan  2006  3  23.6  8.9   Rural
California  sonoma  1999  11  291.0  116.2   Rural
Iowa  decatur  2007  1  15.9  7.2   Rural
Ohio  crawford  2006  1  109.0  50.2   Rural
North Carolina  mcdowell  2005  1  102.1  47.2   Rural
Wisconsin  portage  2005  3  87.4  37.5   Rural
New Jersey  hunterdon  1998  2  283.7  104.7   Rural
Tennessee  davidson  1999  8  1134.6  503.7   Urban
Oregon  clackamas  2007  8  201.0  83.9   Rural
Washington  spokane  2005  6  267.2  114.2   Rural
California  mendocino  1995  2  24.6  10.5   Rural
Michigan  livingston  2002  4  320.2  128.8   Rural
California  humboldt  2003  7  37.7  17.3   Rural
New York  niagara  1998  1  420.4  183.0   Rural
Texas  angelina  2004  1  108.8  44.6   Rural
Georgia  coweta  2005  2  288.8  113.8   Rural
South Dakota  hughes  1998  1  22.2  9.5   Rural
Arkansas  hot spring  2002  1  53.5  23.3   Rural
Illinois  douglas  2004  1  48.0  20.1   Rural
Oregon  douglas  1996  1  19.9  8.6   Rural
Colorado  pueblo  1996  1  59.2  24.7   Rural
Minnesota  yellow medicine  2005  1  13.8  6.3   Rural
Montana  lincoln  2002  1  5.4  3.2   Rural
Colorado  weld  2010  1  63.4  24.1   Rural
Washington  clallam  1998  1  37.1  17.6   Rural
California  butte  1999  6  123.9  52.2   Rural
New Hampshire  strafford  2004  1  333.7  140.1   Rural
Minnesota  hennepin  2009  3  2081.7  920.3   Urban
Oregon  clatsop  2003  1  44.7  26.0   Rural
Indiana  vigo  1999  4  262.5  112.1   Rural
Minnesota  steele  2002  1  85.1  35.7   Rural
Missouri  greene  2004  1  407.5  185.7   Rural
Alabama  baldwin  2009  1  114.6  65.5   Rural
Texas  coryell  2004  1  71.7  23.9   Rural
New Jersey  burlington  2001  4  561.9  219.9   Rural
North Dakota  mclean  2004  1  4.2  2.6   Rural
Florida  santa rosa  2006  5  149.6  64.0   Rural
New Mexico  taos  2005  1  15.0  9.2   Rural
Texas  comal  2006  14  193.9  84.2   Rural
North Carolina  harnett  2006  1  192.7  78.5   Rural
Ohio  ashtabula  2000  1  146.2  62.3   Rural
Oklahoma  pontotoc  1999  2  48.8  21.6   Rural
Missouri  mississippi  2004  1  34.9  13.9   Rural
Texas  anderson  2007  1  55.0  18.9   Rural
North Carolina  macon  2009  1  65.8  49.0   Rural
Minnesota  meeker  2005  1  38.3  17.6   Rural
Florida  volusia  2004  5  449.2  230.9   Rural
Ohio  hancock  2010  1  140.7  62.4   Rural
Texas  collin  2010  11  930.0  357.8   Rural
Texas  dallas  1998  2  2522.6  971.0   Urban
Washington  pierce  1997  4  417.4  165.0   Rural
Michigan  ontonagon  2008  1  5.2  4.3   Rural
Rhode Island  providence  2003  1  1530.3  646.7   Urban
Oregon  jefferson  2003  2  12.2  5.5   Rural
California  stanislaus  2002  4  344.2  120.1   Rural
Washington  douglas  2009  4  21.1  8.8   Rural
Illinois  cook  1992  1  5685.6  2216.5   Urban
Georgia  rockdale  2000  1  536.7  192.0   Rural
Missouri  christian  1995  1  96.4  38.8   Rural
Oregon  lake  2000  1  0.9  0.5   Rural
Pennsylvania  centre  2002  4  138.7  57.0   Rural
Indiana  porter  2001  1  393.0  158.3   Rural
Georgia  clarke  2003  1  979.1  428.4   Rural
Texas  cameron  1998  1  370.1  132.1   Rural
New York  nassau  2002  10  4704.8  1645.0   Urban
Georgia  columbia  2007  1  427.6  167.6   Rural
New Jersey  sussex  2005  1  287.6  119.6   Rural
North Carolina  beaufort  2009  1  57.7  29.8   Rural
Georgia  clayton  2002  2  1832.5  739.6   Urban
Kansas  shawnee  2009  2  327.1  145.5   Rural
Maryland  anne arundel  2007  5  1295.9  512.3   Urban
New Jersey  passaic  2003  4  2715.3  953.3   Urban
Florida  sarasota  2005  2  682.6  410.9   Rural
Alabama  tuscaloosa  1996  1  124.5  53.9   Rural
West Virginia  greenbrier  2009  1  34.8  18.6   Rural
New York  ulster  1999  2  157.8  68.9   Rural
Illinois  madison  1999  2  357.2  150.3   Rural
Kansas  cherokee  2008  2  36.8  16.8   Rural
Minnesota  wright  2005  2  188.5  74.1   Rural
Indiana  miami  1991  2  96.1  40.7   Rural
Alabama  mobile  2003  4  335.9  144.9   Rural
New York  delaware  1999  1  33.2  20.0   Rural
Pennsylvania  allegheny  2002  3  1675.6  807.0   Urban
Wisconsin  columbia  2001  2  74.2  34.1   Rural
Texas  bowie  2005  1  104.6  43.5   Rural
Oklahoma  texas  2008  1  10.1  4.0   Rural
Colorado  baca  2009  1  1.5  0.9   Rural
Minnesota  pine  1997  1  18.8  10.9   Rural
South Carolina  greenville  2008  2  574.7  249.0   Rural
Wisconsin  winnebago  2007  1  384.3  168.8   Rural
South Dakota  kingsbury  2001  1  6.2  3.3   Rural
Tennessee  monroe  2001  2  70.0  32.7   Rural
Kansas  kingman  2008  1  9.1  4.4   Rural
Tennessee  williamson  2004  1  314.4  117.6   Rural
Maine  somerset  2004  1  13.3  7.8   Rural
Florida  pasco  1991  1  462.9  233.2   Rural
Puerto Rico  arroyo  2002  1  1304.3  591.4   Urban
Georgia  dawson  2008  2  105.9  49.4   Rural
California  inyo  2010  1  1.8  0.9   Rural
Tennessee  bedford  2004  1  95.1  38.8   Rural
Michigan  alpena  2009  1  51.8  28.1   Rural
Tennessee  putnam  2002  1  180.3  79.5   Rural
Tennessee  robertson  2001  1  139.2  54.8   Rural
Alaska  kenai peninsula  1996  1  3.1  1.6   Rural
New York  warren  2005  5  75.8  44.7   Rural
California  kern  2006  8  103.3  35.0   Rural
Georgia  franklin  2008  1  84.5  40.4   Rural
Washington  whatcom  2001  8  95.5  43.0   Rural
Georgia  henry  2002  1  633.0  237.6   Rural
Georgia  hart  2008  1  108.5  56.0   Rural
North Carolina  lincoln  2008  2  262.7  112.9   Rural
New Jersey  union  2007  3  5216.1  1939.5   Urban
New York  chenango  1999  1  57.5  26.7   Rural
Mississippi  lee  2002  1  184.3  79.7   Rural
Virginia  york  2002  1  2838.1  1285.9   Urban
Tennessee  hamilton  2000  2  567.6  248.3   Rural
Connecticut  fairfield  2004  3  1467.2  578.1   Urban
Illinois  sangamon  2009  2  227.4  103.5   Rural
New Hampshire  belknap  2003  1  150.1  93.4   Rural
Virginia  spotsylvania  2002  1  304.9  112.5   Rural
Tennessee  shelby  2004  6  1215.5  521.9   Urban
Oregon  coos  1996  2  39.2  18.3   Rural
Texas  newton  2000  1  16.2  7.9   Rural
Maine  oxford  2001  1  27.8  17.4   Rural
Utah  davis  2003  2  1025.8  326.6   Rural
Virginia  loudoun  2002  3  605.8  212.3   Rural
Florida  indian river  1996  1  224.4  115.1   Rural
Colorado  las animas  1999  3  3.2  1.6   Rural
New York  orange  2005  3  459.3  168.8   Rural
Washington  kittitas  1995  2  14.5  7.2   Rural
New Mexico  otero  1993  1  9.4  4.4   Rural
New York  chautauqua  1998  1  131.6  61.1   Rural
Rhode Island  bristol  2001  1  2064.0  862.8   Urban
Florida  monroe  2010  2  74.3  53.7   Rural
Iowa  benton  2007  1  36.4  15.5   Rural
Colorado  chaffee  1998  1  16.0  8.3   Rural
Colorado  larimer  1996  4  96.7  40.5   Rural
Minnesota  carlton  2000  1  36.8  15.9   Rural
Kentucky  kenton  2008  2  996.7  430.4   Rural
Illinois  logan  2008  1  49.0  19.6   Rural
Pennsylvania  butler  2006  2  233.1  99.1   Rural
Ohio  trumbull  1998  1  365.2  154.3   Rural
Kentucky  trimble  2004  1  58.1  25.9   Rural
Idaho  lemhi  2008  2  1.7  1.0   Rural
Ohio  fairfield  2009  1  289.8  116.3   Rural
Colorado  huerfano  1998  1  4.9  2.9   Rural
North Carolina  henderson  2005  4  286.1  146.6   Rural
Washington  spokane  1998  9  237.0  99.2   Rural
Alabama  cherokee  2004  1  46.9  29.4   Rural
Ohio  summit  2002  1  1312.6  593.8   Urban
New York  columbia  2004  2  99.4  51.6   Rural
South Dakota  davison  2000  1  43.0  18.6   Rural
Oregon  douglas  2003  1  21.4  9.7   Rural
Washington  lincoln  2005  1  4.6  2.5   Rural
Missouri  jefferson  2009  1  333.1  133.4   Rural
Colorado  la plata  2009  2  30.3  15.3   Rural
Montana  yellowstone  1992  1  49.1  20.7   Rural
Montana  lincoln  2009  2  5.4  3.2   Rural
Colorado  weld  2005  4  63.4  24.1   Rural
Nevada  lander  1996  1  1.1  0.5   Rural
Texas  bell  1999  2  224.6  87.6   Rural
California  butte  2004  1  134.4  58.6   Rural
Maine  androscoggin  1995  2  220.7  97.7   Rural
Oregon  klamath  2005  3  11.2  5.5   Rural
Colorado  prowers  2004  1  7.7  3.6   Rural
Arizona  maricopa  2002  55  414.9  178.2   Rural
Alabama  baldwin  2002  2  114.6  65.5   Rural
Michigan  iron  2000  1  11.3  7.5   Rural
New Jersey  burlington  1998  1  526.2  200.5   Rural
California  placer  2005  2  247.6  108.5   Rural
Montana  hill  2005  2  5.6  2.5   Rural
Pennsylvania  potter  2004  1  16.1  12.0   Rural
Texas  wharton  2000  1  37.8  15.2   Rural
Arizona  gila  1996  1  10.8  5.9   Rural
Massachusetts  hampshire  2010  2  299.8  118.7   Rural
Missouri  lafayette  1996  1  52.4  21.8   Rural
Washington  king  2006  30  912.9  402.4   Rural
Idaho  bonneville  2006  6  55.9  21.3   Rural
Oklahoma  pontotoc  2004  1  52.0  23.0   Rural
Michigan  chippewa  2005  2  24.7  13.6   Rural
Rhode Island  washington  2001  2  385.7  188.9   Rural
Michigan  marquette  1991  2  35.5  18.1   Rural
Alabama  jefferson  2004  1  592.5  270.5   Rural
Arizona  pinal  2007  4  70.0  29.7   Rural
Arizona  coconino  2006  6  7.2  3.4   Rural
Florida  washington  2005  1  42.7  18.5   Rural
Washington  pierce  2002  12  476.3  194.9   Rural
South Carolina  spartanburg  2003  1  351.9  151.8   Rural
Oregon  jefferson  2010  1  12.2  5.5   Rural
Michigan  ontonagon  1999  1  6.0  4.1   Rural
Michigan  ingham  2007  1  505.1  218.1   Rural
Alaska  aleutians east  1995  1  0.4  0.1   Rural
Hawaii  honolulu  2006  4  1586.7  560.8   Urban
Colorado  pitkin  2006  1  17.7  13.3   Rural
Wisconsin  dane  1999  7  354.9  150.1   Rural
Wisconsin  rock  2001  2  223.3  95.3   Rural
Wisconsin  ashland  2002  2  15.5  9.2   Rural
Nevada  washoe  2006  5  66.9  29.3   Rural
Indiana  porter  2008  1  393.0  158.3   Rural
Texas  cameron  2007  2  456.0  159.3   Rural
Michigan  jackson  2009  2  228.4  99.0   Rural
Indiana  howard  2003  1  282.4  132.0   Rural
Wisconsin  wood  2005  1  94.2  43.0   Rural
Texas  hays  2010  8  231.7  87.6   Rural
Illinois  will  1997  2  600.1  209.7   Rural
Kentucky  greenup  2005  2  107.2  47.4   Rural
Illinois  hancock  2005  1  24.1  11.7   Rural
Texas  atascosa  1999  1  31.4  12.1   Rural
Pennsylvania  schuylkill  1999  2  193.1  87.1   Rural
Maryland  anne arundel  2008  4  1295.9  512.3   Urban
New Jersey  passaic  1994  1  2639.3  917.7   Urban
Wisconsin  vernon  1995  1  35.3  15.6   Rural
Nebraska  hall  2004  2  107.3  43.1   Rural
Montana  cascade  2010  2  30.1  13.8   Rural
New Mexico  rio arriba  2002  1  6.9  3.4   Rural
Minnesota  stearns  2000  1  99.0  37.4   Rural
Arizona  graham  2000  2  7.2  2.5   Rural
Washington  yakima  2000  1  51.8  18.4   Rural
California  monterey  2008  4  126.5  42.4   Rural
Delaware  new castle  2007  7  1263.2  510.2   Urban
Texas  travis  2006  2  1034.4  445.6   Rural
Pennsylvania  allegheny  2009  9  1675.6  807.0   Urban
Florida  palm beach  2005  23  670.2  337.4   Rural
California  napa  1994  1  164.9  64.4   Rural
Texas  lampasas  2008  1  27.6  12.2   Rural
Tennessee  williamson  1997  2  217.3  80.7   Rural
Kentucky  jefferson  2000  5  1801.2  794.2   Urban
Montana  park  1995  1  5.6  2.9   Rural
Arkansas  sebastian  2006  1  236.4  102.7   Rural
Montana  missoula  2007  3  42.1  19.3   Rural
Texas  runnels  1993  1  10.9  5.1   Rural
Texas  sabine  2008  1  22.0  16.3   Rural
Missouri  cass  2004  2  142.8  57.4   Rural
Illinois  crawford  2005  1  44.7  19.5   Rural
Illinois  stephenson  2005  1  84.5  39.1   Rural
Iowa  warren  2002  1  81.1  32.2   Rural
Wisconsin  outagamie  2010  3  277.2  114.7   Rural
Tennessee  hamilton  1995  1  567.6  248.3   Rural
Minnesota  goodhue  1999  3  58.2  23.6   Rural
Maine  cumberland  1994  1  317.9  146.7   Rural
Illinois  dupage  2002  2  2799.8  1087.6   Urban
Michigan  ionia  1995  1  107.3  38.4   Rural
Iowa  wapello  2000  1  83.5  36.8   Rural
Florida  highlands  2002  1  97.2  54.5   Rural
Florida  hillsborough  2004  8  1204.9  525.5   Urban
Oregon  coos  2003  2  39.5  19.2   Rural
North Carolina  gaston  2005  2  578.8  249.1   Rural
Utah  juab  2005  1  3.0  1.0   Rural
Hawaii  hawaii  1999  2  36.9  15.6   Rural
Hawaii  kauai  1991  1  93.9  40.7   Rural
Texas  cherokee  2006  1  48.3  19.8   Rural
Maine  oxford  2008  1  27.8  17.4   Rural
Virginia  king william  2009  1  58.2  23.8   Rural
Tennessee  jefferson  2002  1  187.6  85.7   Rural
Kansas  harvey  2004  1  64.3  26.9   Rural
Wyoming  platte  1995  1  4.2  2.2   Rural
Texas  randall  1996  1  114.1  47.3   Rural
Idaho  canyon  2005  2  321.6  118.2   Rural
